username,time,content
陶***肉,2018-12-13 13:59:19,很喜欢故宫文创，最近也订了不少东西，可是这次购买笔记本很失望，封面印刷有问题，基本的图案对齐都做不到，拆开快递同事们一看，连不懂点翠的都评论做工不细致。找客服，传了很多次照片，可能是网路问题客服说收不到，沟通用其他方式包括邮件传送，说是不可以，我这边表达请客服抓紧时间，客服直接回复转给售后，这让我很纳闷啊，我找的客服难道是售前么？最近故宫文创化妆品也很火，我也预定了一些，将来还是会支持故宫文创，可是请你们一定要把关好质量可以么？这么好的品牌，质量和服务必须跟上去是不是
罗***草,2018-12-15 13:18:44,东西好美也精致方便，使用时固定更好就完美了。
熊***6,2018-12-11 14:48:33,非常漂亮的东东，能配上英语介绍会更棒
冰***4,2018-12-14 10:18:10,精致，典雅。
a***8,2018-12-14 14:25:11,特别精致随意掰～
g***u,2018-12-12 09:24:09,挺漂亮，用途也好
b***t,2018-12-13 21:16:06,非常精美，满意
木***5,2018-12-01 16:07:37,质量很好，非常漂亮 很美特别好看 大品牌值得信赖 物流给力祝老板生意兴隆
沙***4,2018-12-07 19:03:14,里面的东西不错，包装不够精致。塑料膜太薄太软，烫金字不够仔细，有一种廉价感。
c***3,2018-12-03 17:34:44,很漂亮，准备送人的，希望别太容易出锈斑
x***a,2018-12-10 08:08:24,很好看，就是价格偏贵
g***6,2018-12-04 07:41:46,太美了，都没舍得用，摆柜子做装饰了
太***客,2018-11-17 17:15:20,好东西！可以做书签。喜欢！我给五星好评！
v***3,2018-11-18 19:54:03,非常漂亮
t***3,2018-10-31 17:18:12,收到了，很漂亮，打算送给朋友的，就不拆封再拍照了，包装也还可以，总体来说挺满意的。
久***久,2018-11-22 15:20:01,好好看哦，很有意思
甜***司,2018-12-02 19:19:18,太精致了。都不舍得用。
逍***g,2018-12-01 13:26:55,略贵，精致
琪***霏,2018-11-16 19:48:57,超精致～买来送学姐的，自己也想要🤣🤣
t***1,2018-11-18 11:19:18,嗯&hellip;&hellip;就这样吧&hellip;&hellip;其实感觉产品溢价太多了。导致收到的时候感觉真滴略贵，和平时买的也没啥特别出彩的地方，可能故宫两个字就值20吧，感觉故宫系列的话还是胶带好看，工艺品不是很好
p***d,2018-11-11 21:36:08,送给同事的礼物。很棒！
t***2,2018-11-12 12:15:53,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。我妈很喜欢。"
蓉***风,2018-11-09 20:05:58,品质很好
z***y,2018-10-15 20:57:03,非常漂亮！买来送妈妈的，她非常喜欢，拿到就马上用起来了。包装也很漂亮，非常满意
殇***影,2018-11-18 11:49:58,很美，很漂亮，但是看到这个是一花一世界，后面还有好几句，总有种不祥的预感，这货不会还有个系列套装吧&hellip;&hellip;作为强迫症患者，不能一套缺任何一个啊&hellip;&hellip;
s***6,2018-10-25 09:35:37,精致美丽，送朋友的，她很喜欢
n***7,2018-11-14 21:18:34,准备送人的，包装很薄
南***文,2018-10-29 14:52:46,朋友很喜欢~
十***女,2018-09-28 08:32:38,首先，发货速度很快。其次，收到物品后第一感觉是&hellip;&hellip;性价比不怎么高嘛。不过其中一件手表还是很喜欢的，戴在手上看着特别清新淡雅，惊喜。
t***2,2018-09-08 03:08:33,很好看，精致漂亮，与照片符合，很喜欢这种古风的东西，物有所值，故宫的质量值得相信
s***2,2018-09-16 13:08:40,漂亮精致，非常喜欢，买来送人的，朋友应该也会喜欢的。
g***7,2018-09-06 22:55:41,买来送人的，还不错，包装很精致。
灯***龟,2018-10-13 15:29:56,此用户没有填写评论!
沫***光,2018-09-11 23:27:24,很漂亮，美感，很值
s***1,2018-09-09 16:18:08,我妈很喜欢
w***1,2018-09-25 20:45:59,东西非常好，物流也很快
r***4,2018-08-03 19:58:25,非常仙，仙女很瘦，仙盘也很薄，可能风一吹，就没有了-_-||&hellip;&hellip;装逼100婚，造型100婚，抗风能力-100婚，毕竟我是风一样的男子，我怕我走过去，香盘就没了&hellip;&hellip;~
l***d,2018-10-17 10:51:47,东西不错，可惜送过来时包装破了，本来想送人的这下没办法了！
t***1,2018-10-15 17:20:43,好精致，不过实体不小，我还以为是很小的呢，但还是美的。
简***9,2018-08-11 06:47:27,故宫出品，必属佳品，古香古色，很有味道，喜欢
l***9,2018-08-16 17:17:38,尺寸做书签比较大，很精致。
n***g,2018-08-08 13:27:41,每一样都很喜欢
t***r,2018-08-10 12:44:00,老妈非常喜欢！
e***6,2018-08-06 14:02:18,创意挺好的
a***5,2018-08-03 22:27:14,超级大个
斯***涛,2018-08-08 10:48:25,还不错，挺好看的，喜欢的不行
l***7,2018-07-10 11:00:30,此用户没有填写评论!
神***5,2018-08-11 21:13:53,好评！做工精美！独具特色！
i***菇,2018-07-21 18:20:54,第一次看到就超喜欢 送妈妈烧沉香用  收到货后我妈一脸莫名其妙  嫌弃(╥╯﹏╰╥)ง
身***皮,2018-07-09 14:50:28,此用户没有填写评论!
t***0,2018-07-16 20:00:56,精美
白***光,2018-07-04 16:40:42,相当精致好看
冬***格,2018-07-16 23:43:03,送朋友的，她说既精美又实用，非常喜欢！
